"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"ISU_NiemiLab-GPE",0,167.158408561798,206.004767507527,0.173076923076923,0.403846153846154,0.895905990786377,0.773204044606912,0.853488337111173,0.83397020896166
"ISU_NiemiLab-GPE",1,324.416106144781,384.580347676989,0.0384615384615385,0.173076923076923,0.994629951387224,0.791304477689814,0.960286311966993,0.838028539322821
"JHUAPL-DMD",0,135.010655410341,201.753847172087,0.278846153846154,0.778846153846154,0.757719573185358,0.653943432335458,0.860483690205221,0.840805587757051
"JHUAPL-DMD",1,219.844441159832,317.496728311154,0.173076923076923,0.596153846153846,0.654405972260029,0.520630185481632,0.744050147881543,0.649322239463027
"JHU_CSSE-CSSE_Ensemble",0,108.288881500426,150.359477124183,0.568627450980392,0.882352941176471,0.722191824878164,0.623281511364501,0.719046049896802,0.70260243568786
"LUcompUncertLab-chimera",0,243.261233277592,323.413461538462,0.0673076923076923,0.432692307692308,1.38945340688939,1.19915594386945,1.40582033157633,1.37367111500968
"LUcompUncertLab-chimera",1,438.65893812709,507.519230769231,0.0192307692307692,0.0769230769230769,1.38818818372512,1.10441026245561,1.29565273783765,1.1306981655665
"LosAlamos_NAU-CModel_Flu",0,181.097783570234,287.557692307692,0.125,0.711538461538462,1.02941565954101,0.888428428567777,1.24361015658958,1.21517046813817
"LosAlamos_NAU-CModel_Flu",1,245.882309657191,367.019230769231,0.115384615384615,0.576923076923077,0.776323951392253,0.617625296742527,0.93497234235013,0.815937389300044
"MIGHTE-Joint",0,182.60485367893,228.403846153846,0.0865384615384615,0.375,0.988744110956684,0.853327194521756,0.961447971647321,0.939460952137225
"MIGHTE-Joint",1,366.62364548495,412.115384615385,0.0192307692307692,0.0961538461538462,1.14605208499271,0.911772408678874,1.04021628124712,0.907782314388861
"MIGHTE-Nsemble",0,198.732408026756,246.932692307692,0.105769230769231,0.375,1.09144338495585,0.941960929367808,1.0503725592394,1.02635195424161
"MIGHTE-Nsemble",1,354.341496655518,404.442307692308,0.0384615384615385,0.153846153846154,1.11372313891817,0.88605225039076,1.02568796553529,0.895103654865048
"MOBS-GLEAM_FLUH",0,120.854121909633,162.852941176471,0.274509803921569,0.588235294117647,0.666144494109035,0.574910339293116,0.681868633042437,0.666275216258439
"MOBS-GLEAM_FLUH",1,267.206956521739,326.078431372549,0.0588235294117647,0.313725490196078,0.804334374082076,0.639909738172757,0.781830048595346,0.682292234574274
"NEU_ISI-AdaptiveEnsemble",0,191.359255273353,261.168316831683,0.0891089108910891,0.396039603960396,1.18901166221286,1.02616640112074,1.21208980437745,1.18437094390581
"NEU_ISI-AdaptiveEnsemble",1,280.645634782609,357.26,0.06,0.26,0.973567131102879,0.774547387296012,0.986868434940797,0.861226389183043
"NEU_ISI-FluBcast",0,185.215318401405,213.20202020202,0.0606060606060606,0.171717171717172,1.08154485176432,0.933418084495607,0.940253180407291,0.918750857211764
"NEU_ISI-FluBcast",1,252.109365217391,285.04,0.04,0.14,0.777117511837413,0.618256634993197,0.689858611616384,0.602030037737348
"NIH-Flu_ARIMA",0,147.402553282182,182.813725490196,0.0784313725490196,0.362745098039216,0.868963382625319,0.749951455812295,0.81881570722311,0.800090495395953
