"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"FluSight-lop_norm",2024-12-21,98.5222324414716,157.326923076923,0.216346153846154,0.918269230769231,0.872066091340319,0.676539330597802,1.02333842939164,0.824707194967959
"FluSight-lop_norm",2024-12-28,228.593637123746,332.5,0.0240384615384615,0.629807692307692,0.903097205240314,0.707520933641636,1.0348226127545,0.883180716372056
"FluSight-lop_norm",2025-01-04,289.411939799331,414.725961538462,0.0721153846153846,0.572115384615385,0.895980543212038,0.732203710941835,1.03350807555482,0.928488156143567
"FluSight-trained_mean",2025-01-04,124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.60311032290629,0.812501241647772,0.729938930875711
"FluSight-trained_med",2025-01-04,146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.712011336957374,0.939804344688077,0.844306129554631
"Gatech-ensemble_point",2024-11-30,27.4912040133779,37.6923076923077,0.403846153846154,0.923076923076923,0.92687439650031,0.85596124715532,0.992314430322341,0.894685512641794
"Gatech-ensemble_point",2024-12-07,43.661881270903,58.3365384615385,0.346153846153846,0.721153846153846,1.10924757503922,0.978124248760322,1.07070009508453,0.915661678377384
"Gatech-ensemble_point",2024-12-14,67.0482329988852,91.3397435897436,0.179487179487179,0.519230769230769,1.1806033110933,0.987128637195009,1.15846938236629,0.922362058545655
"Gatech-ensemble_point",2024-12-21,149.841971153846,184.350961538462,0.0721153846153846,0.3125,1.31226492812884,1.01804077105986,1.19280035262736,0.961276352689013
"Gatech-ensemble_point",2024-12-28,312.279899665552,357.355769230769,0.0144230769230769,0.0913461538461538,1.24142390744052,0.972579027972566,1.11633529641195,0.952748610867876
"Gatech-ensemble_point",2025-01-04,386.934498327759,439.514423076923,0.0480769230769231,0.158653846153846,1.17205663608754,0.957815685707591,1.07361351014211,0.964518277138315
"Gatech-ensemble_prob",2024-11-30,38.0948494983278,48.6346153846154,0.230769230769231,0.634615384615385,1.35211871354484,1.248671044014,1.32362591958474,1.19340090018136
"Gatech-ensemble_prob",2024-12-07,67.4144648829431,82.4807692307692,0.0961538461538462,0.346153846153846,1.94206360395741,1.71249371773334,1.68627707190862,1.44210250934108
"Gatech-ensemble_prob",2024-12-14,105.536716833891,125.044871794872,0.0384615384615385,0.179487179487179,1.9836687590121,1.65858948584228,1.66435473023159,1.32514305383793
"Gatech-ensemble_prob",2024-12-21,186.314109531773,211.961538461538,0.0673076923076923,0.168269230769231,1.64723401754415,1.27790612504431,1.382629977528,1.11425981639681
"Gatech-ensemble_prob",2024-12-28,390.492178093645,418.302884615385,0.00961538461538462,0.0336538461538462,1.55454595097,1.21789082751778,1.30828252036111,1.11656807583087
"Gatech-ensemble_prob",2025-01-04,509.012934782609,541.663461538462,0.0336538461538462,0.0769230769230769,1.57938842675625,1.29069104887453,1.3492853945277,1.21217776397531
"ISU_NiemiLab-GPE",2024-11-30,27.7170793563976,33.9521253420942,0.346153846153846,0.711538461538462,0.936594530473873,0.864937714765109,0.889240601548421,0.801752608998952
"ISU_NiemiLab-GPE",2024-12-07,53.3343303385743,73.7419255832106,0.173076923076923,0.519230769230769,1.88057913125615,1.65827727856806,1.84357299565334,1.57662183011003
"ISU_NiemiLab-GPE",2024-12-14,135.483378430373,173.553176110195,0.182692307692308,0.5,2.93841929328709,2.45687760252333,2.66293276652042,2.12020117724601
"ISU_NiemiLab-GPE",2024-12-21,102.053812859446,141.676123386127,0.301282051282051,0.647435897435897,0.982376071416893,0.762116606013431,0.998647588979334,0.804808876725439
"ISU_NiemiLab-GPE",2024-12-28,180.941194072796,233.140231772812,0.221153846153846,0.5,0.709228941197669,0.555637111631097,0.718664497235195,0.613352102743353
"ISU_NiemiLab-GPE",2025-01-04,242.424182972761,308.73046978669,0.197115384615385,0.471153846153846,0.756651803102747,0.61834295657417,0.774205268010873,0.695534402463334
"JHUAPL-DMD",2024-11-30,29.7081162641084,40.8149643420385,0.923076923076923,0.980769230769231,1.02764667896248,0.949023660898426,1.08116279936926,0.974792529308181
"JHUAPL-DMD",2024-12-07,33.4635924589308,49.8594431171442,0.836538461538462,0.990384615384615,0.891830955489597,0.786408285209564,0.936379231284572,0.800790606493839
"JHUAPL-DMD",2024-12-14,42.6902478431177,72.9668501085897,0.564102564102564,0.993589743589744,0.77142293365061,0.64500384002,0.924035071373589,0.735707739517146
"JHUAPL-DMD",2024-12-21,84.0830081272395,144.048734682543,0.379807692307692,0.975961538461538,0.733230015958451,0.568831822606851,0.918489183291769,0.740209315124888
