"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"FluSight-baseline",2024-12-28,326.114644648829,368.778846153846,0.0384615384615385,0.134615384615385,1.25791663755484,1,1.1258597874969,1
"FluSight-baseline",2025-01-04,183.679548494983,215.461538461538,0.0576923076923077,0.269230769230769,1.08365408699238,1,0.958716563827226,1
"FluSight-ensemble",2024-11-30,66.7904159698997,95.0288461538462,0.322115384615385,0.759615384615385,0.944159548518756,0.75948420455941,0.984346632389591,0.775279255150882
"FluSight-ensemble",2024-12-07,134.321548913043,172.307692307692,0.177884615384615,0.576923076923077,1.04559939559648,0.846293725805985,1.03147723466671,0.856425699074525
"FluSight-ensemble",2024-12-14,222.804644648829,273.403846153846,0.0865384615384615,0.350961538461538,1.04204850458018,0.839224274700149,1.01701742736267,0.871245516023558
"FluSight-ensemble",2024-12-21,232.505373467113,295.75,0.0833333333333333,0.320512820512821,1.03540257226021,0.786502587809078,1.02983812350398,0.867841555066161
"FluSight-ensemble",2024-12-28,265.578248327759,328.471153846154,0.0384615384615385,0.201923076923077,1.01627094922591,0.807900077704161,1.00271727443005,0.890623579921412
"FluSight-ensemble",2025-01-04,149.899623745819,210.115384615385,0.173076923076923,0.576923076923077,0.883274656673212,0.815089120481876,0.932156489253751,0.972296218115345
"FluSight-lop_norm",2024-11-30,61.0424268394649,97.5673076923077,0.408653846153846,0.951923076923077,0.864323198552472,0.695263653229715,1.01044111812833,0.795831480151098
"FluSight-lop_norm",2024-12-07,113.927886705686,174.721153846154,0.235576923076923,0.846153846153846,0.885495458229569,0.716707807679899,1.0444172647364,0.867169682485909
"FluSight-lop_norm",2024-12-14,187.63718645485,276.730769230769,0.134615384615385,0.783653846153846,0.87729565637016,0.706538906470054,1.02846972569637,0.881056324868081
"FluSight-lop_norm",2024-12-21,203.481741917503,295.730769230769,0.115384615384615,0.705128205128205,0.90732402179991,0.689212785679296,1.03008259143829,0.868047567474745
"FluSight-lop_norm",2024-12-28,238.873386287625,332.403846153846,0.0480769230769231,0.519230769230769,0.918370349629583,0.73007250418019,1.01841122359414,0.904563103597789
"FluSight-lop_norm",2025-01-04,144.467274247492,226.288461538462,0.192307692307692,0.846153846153846,0.86190494464878,0.79536907117745,1.01076143529124,1.05428598339456
"FluSight-trained_mean",2025-01-04,124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.681040190476989,0.812501241647772,0.847488478142322
"FluSight-trained_med",2025-01-04,146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.804012662569811,0.939804344688077,0.980273398987026
"Gatech-ensemble_point",2024-11-30,99.4073306856187,123.125,0.134615384615385,0.461538461538462,1.40850969270323,1.13300857387419,1.28011875193921,1.00823173448447
"Gatech-ensemble_point",2024-12-07,169.61706312709,199.134615384615,0.1875,0.432692307692308,1.32391719261116,1.07156031106381,1.19378784104447,0.991190645757226
"Gatech-ensemble_point",2024-12-14,272.255110785953,309.908653846154,0.100961538461538,0.264423076923077,1.27791865418564,1.02918467899611,1.15471652629877,0.989207823532555
"Gatech-ensemble_point",2024-12-21,281.754601449275,326.929487179487,0.0897435897435897,0.217948717948718,1.26235468064485,0.958897775280551,1.14231007217102,0.962621335115878
"Gatech-ensemble_point",2024-12-28,284.617111204013,334.663461538462,0.0288461538461538,0.192307692307692,1.08363754756304,0.861454181629585,1.01729170246655,0.903568733659338
"Gatech-ensemble_point",2025-01-04,132.569096989967,174.480769230769,0.153846153846154,0.5,0.767254528435963,0.708025316976778,0.751127253957261,0.783471656063537
"Gatech-ensemble_prob",2024-11-30,116.201258361204,134.745192307692,0.0961538461538462,0.302884615384615,1.66218655161049,1.33706684739858,1.41365848797796,1.11340869520393
"Gatech-ensemble_prob",2024-12-07,217.244466973244,238.144230769231,0.0288461538461538,0.115384615384615,1.69666257906137,1.37325528449672,1.42840183005197,1.18598840066195
"Gatech-ensemble_prob",2024-12-14,338.211975334448,362.932692307692,0.0144230769230769,0.0817307692307692,1.59278573924515,1.2827660621319,1.35598258286404,1.16162586140724
"Gatech-ensemble_prob",2024-12-21,339.696722408027,371.608974358974,0.0897435897435897,0.205128205128205,1.52656339692794,1.15959347050637,1.30174822617049,1.09697939814135
"Gatech-ensemble_prob",2024-12-28,450.535714882943,476.278846153846,0.00961538461538462,0.0480769230769231,1.78994831079285,1.42294668609534,1.49111362507885,1.3244221364314
"Gatech-ensemble_prob",2025-01-04,226.018419732441,265.769230769231,0.134615384615385,0.269230769230769,1.32735328990674,1.22488652591228,1.18460839370469,1.23561899147303
