"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"FluSight-ensemble",2024-12-28,195.354205685619,245.153846153846,0.0192307692307692,0.230769230769231,1.01880173530976,0.805662958743945,0.984926965791878,0.889862857768512
"FluSight-ensemble",2025-01-04,242.85095735786,310.951923076923,0.115384615384615,0.375,0.95223628360592,0.810923298222559,0.978714507826673,0.922779287731414
"FluSight-lop_norm",2024-12-28,175.038060200669,248.576923076923,0.0384615384615385,0.653846153846154,0.915399594353367,0.723893099176465,1.00096691524893,0.904354648285018
"FluSight-lop_norm",2025-01-04,223.587993311037,321.259615384615,0.125,0.615384615384615,0.888485146984767,0.756632905318714,1.02034981629841,0.962035066601336
"FluSight-trained_mean",2025-01-04,124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.628490138392731,0.812501241647772,0.766065396040294
"FluSight-trained_med",2025-01-04,146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.74197387560064,0.939804344688077,0.886092907444401
"Gatech-ensemble_point",2024-12-28,188.077984949833,229.75,0.0192307692307692,0.269230769230769,0.970260968448671,0.76727718014384,0.915551508956706,0.827183446581198
"Gatech-ensemble_point",2025-01-04,256.86266722408,307.028846153846,0.0961538461538462,0.307692307692308,0.98397411293062,0.837951196316244,0.943571287483871,0.889644562970328
"Gatech-ensemble_prob",2024-12-28,304.176086956522,330.711538461538,0.0192307692307692,0.0769230769230769,1.62065129700712,1.28160237049654,1.34719616039661,1.21716621323435
"Gatech-ensemble_prob",2025-01-04,411.456881270903,443.807692307692,0.0673076923076923,0.144230769230769,1.63624590301636,1.39342508495118,1.40397651093205,1.3237368347859
"ISU_NiemiLab-GPE",2024-12-28,201.445652015088,233.755582199865,0.0576923076923077,0.173076923076923,1.05536487646652,0.83457689505205,0.942460792032609,0.851495474142727
"ISU_NiemiLab-GPE",2025-01-04,228.643635626644,281.41715024609,0.163461538461538,0.403846153846154,0.888892685778518,0.756979964875751,0.876310405036075,0.826227755820724
"JHUAPL-DMD",2024-12-28,142.856800019339,213.297431918404,0.0769230769230769,0.673076923076923,0.733701922373702,0.580207552783558,0.844101408058376,0.762629633779335
"JHUAPL-DMD",2025-01-04,173.504475980588,253.853495368462,0.326923076923077,0.740384615384615,0.719933013924805,0.613094107210915,0.827546103526446,0.780250418145717
"JHU_CSSE-CSSE_Ensemble",2025-01-04,108.288881500426,150.359477124183,0.568627450980392,0.882352941176471,0.722191824878164,0.615017707959904,0.719046049896802,0.677951329487562
"LUcompUncertLab-chimera",2024-12-28,192.456379598662,266.5,0.0769230769230769,0.538461538461538,1.02892329942082,0.813667037463297,1.09057995830414,0.985318335295384
"LUcompUncertLab-chimera",2025-01-04,366.362512541806,443.923076923077,0.0384615384615385,0.201923076923077,1.52992929486856,1.30288598659991,1.47106090663904,1.38698724171596
"LosAlamos_NAU-CModel_Flu",2024-12-28,167.145156438127,261.048076923077,0.115384615384615,0.596153846153846,0.897944679295521,0.710089845783053,1.06591200294578,0.963031304872933
"LosAlamos_NAU-CModel_Flu",2025-01-04,220.466360179766,340.543269230769,0.125,0.701923076923077,0.933544173839511,0.795005119548339,1.13987407839654,1.07472831122325
"MIGHTE-Joint",2024-12-28,216.096287625418,240.057692307692,0.0576923076923077,0.115384615384615,1.13598145809037,0.898328056268065,0.967054867818095,0.873715755770464
"MIGHTE-Joint",2025-01-04,257.868532608696,314.432692307692,0.0673076923076923,0.365384615384615,1.01948281577413,0.868190365859781,1.0023111534687,0.945027344426467
"MIGHTE-Nsemble",2024-12-28,221.661806020067,247.846153846154,0.0576923076923077,0.153846153846154,1.17015623311037,0.925353285419889,1.0040111014414,0.907105012848988
"MIGHTE-Nsemble",2025-01-04,265.072253344482,325.230769230769,0.0961538461538462,0.375,1.07240837023421,0.913261705738264,1.05381907098908,0.993591495730954
"MOBS-GLEAM_FLUH",2024-12-28,158.049411764706,210.274509803922,0.0784313725490196,0.431372549019608,0.789211343021966,0.624104105496089,0.817590013101477,0.738677090596798
