"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"UI_CompEpi-EpiGen",1,273.883118729097,285.975961538462,0.0240384615384615,0.168269230769231,1.52021151491849,1.19268858442613,1.22773714766161,1.03800712467599
"UI_CompEpi-EpiGen",2,365.812226867336,379.903846153846,0,0.115384615384615,1.42734354546537,1.11029850382036,1.16663811463812,0.969319153930247
"UI_CompEpi-EpiGen",3,472.804765886288,489.317307692308,0,0.0288461538461538,1.3442679486653,1.05648385458014,1.11824211497019,0.933350640188836
"UM-DeepOutbreak",0,125.247376432219,144.465592290915,0.0544871794871795,0.230769230769231,1.36971187695102,1.17510188144829,1.18332698220284,1.11827188611687
"UM-DeepOutbreak",1,223.399792667471,247.565214384445,0.0346153846153846,0.188461538461538,1.45806821761794,1.14393378908244,1.2448104813687,1.05244200763419
"UM-DeepOutbreak",2,308.003923958135,334.859392371909,0.0192307692307692,0.134615384615385,1.46637803186381,1.14066255456573,1.24496128956915,1.03439516396686
"UM-DeepOutbreak",3,385.529720503819,419.83059515503,0.0192307692307692,0.147435897435897,1.36399323332121,1.07198630317058,1.1775842497952,0.982881076207674
"UMass-AR2",0,82.6599287714595,107.652550573869,0.185897435897436,0.58974358974359,0.887263194007144,0.761199976551635,0.869803376895723,0.821984690166792
"UMass-AR2",1,176.009983560984,219.081268895742,0.107692307692308,0.396153846153846,1.13823638487204,0.893008327652443,1.09319387646651,0.924255680123115
"UMass-AR2",2,253.975009110799,313.37322479425,0.0432692307692308,0.269230769230769,1.2126980003776,0.943330552537857,1.16665439844929,0.969332683584276
"UMass-AR2",3,347.774003916705,415.113423306823,0.0128205128205128,0.173076923076923,1.2376023559681,0.97265348680584,1.17070710393533,0.977141005783698
"UMass-flusion",0,74.0944424209882,102.273784297859,0.236245954692557,0.679611650485437,0.82301084809219,0.70607666642878,0.857176918074563,0.810052389008045
"UMass-flusion",1,157.021043475347,198.541178975046,0.1284046692607,0.474708171206226,1.02494062367559,0.804121643321472,1.00066381723477,0.846024878919317
"UMass-flusion",2,231.416055259774,283.096344612935,0.0731707317073171,0.341463414634146,1.11180701528781,0.864849719980033,1.05991079481631,0.880643124874733
"UMass-flusion",3,327.784631452645,386.568334311034,0.0392156862745098,0.235294117647059,1.17250134638803,0.921489456891639,1.09475925357309,0.913750462888204
"UMass-trends_ensemble",0,88.5837137681159,114.929487179487,0.16025641025641,0.352564102564103,0.960441620513317,0.82398114105482,0.944346485167412,0.892429684270466
"UMass-trends_ensemble",1,186.368336956522,216.105769230769,0.0730769230769231,0.184615384615385,1.20970748440109,0.949081290979033,1.08023774774292,0.913301744299869
"UMass-trends_ensemble",2,270.320858068562,300.221153846154,0.0288461538461538,0.0961538461538462,1.2864710215845,1.00071692971983,1.11522055685482,0.926598088175312
"UMass-trends_ensemble",3,372.03902173913,401.791666666667,0.0128205128205128,0.0705128205128205,1.32026464613715,1.0376192364043,1.13059089038607,0.943657654462098
"UNC_IDD-InfluPaint",0,82.4926236617494,102.271585983415,0.111111111111111,0.516339869281046,0.790221647194803,0.67794618708193,0.732364158874229,0.69210139005205
"UNC_IDD-InfluPaint",1,172.93821835608,206.655631223233,0.0980392156862745,0.34640522875817,0.77678608134466,0.609430913178261,0.722425007732689,0.610784080695846
"UNC_IDD-InfluPaint",2,245.962724448468,303.307460402461,0.0784313725490196,0.245098039215686,0.761191595212805,0.592113855119484,0.750189348774268,0.623306315572349
"UNC_IDD-InfluPaint",3,295.67944266888,381.189929302004,0.0588235294117647,0.333333333333333,0.714456438063709,0.561503896871587,0.75453828255222,0.629782029883462
"UVAFluX-CESGCN",0,228.941337902268,259.867799502153,0.0769230769230769,0.211538461538462,1.36847187150465,1.17403805718163,1.1685920556643,1.10434703327411
"UVAFluX-Ensemble",0,66.692505574136,87.4455128205128,0.253205128205128,0.522435897435897,0.7151694705004,0.613557496639454,0.700844109716461,0.662314200752489
"UVAFluX-Ensemble",1,152.865553511706,182.034615384615,0.0884615384615385,0.223076923076923,0.981187207488633,0.769794709533819,0.901864399964162,0.762493563412528
"UVAFluX-Ensemble",2,234.362387123746,262.740384615385,0.0192307692307692,0.0961538461538462,1.10779748404207,0.861730795627655,0.972341887906036,0.807885156750925
"UVAFluX-Ensemble",3,331.162009476031,364.211538461538,0,0.0769230769230769,1.16768913502169,0.917707455231616,1.02111370458616,0.852281556133753
"VTSanghani-PRIME",0,145.519425863991,171.814102564103,0.317307692307692,0.525641025641026,1.67989991764767,1.44121810366925,1.47753059074757,1.39630122980449
"VTSanghani-PRIME",1,190.129151785714,215.34375,0.272321428571429,0.4375,1.33428282365983,1.04681741754881,1.15203493200838,0.974003653451322
"VTSanghani-PRIME",2,247.567228858098,272.615384615385,0.208791208791209,0.39010989010989,1.2350187300547,0.96069334711061,1.05504604050297,0.876601169210918
"VTSanghani-PRIME",3,295.316418364244,324.510489510489,0.153846153846154,0.328671328671329,1.08480861565537,0.852570195463818,0.942066817125646,0.78630437460167
"fjordhest-ensemble",0,81.9293464342086,117.107623762376,0.211221122112211,0.62046204620462,0.990571902594793,0.849830483356884,1.04619178727963,0.988675894995038
"fjordhest-ensemble",1,141.43534915601,196.869176470588,0.156862745098039,0.490196078431373,0.974616023299284,0.764639258274645,1.03853705767452,0.878045326851438
"fjordhest-ensemble",2,225.868020268851,301.224106280193,0.0772946859903382,0.357487922705314,1.07309629227168,0.834737517502114,1.11906247553532,0.929790205180685
"fjordhest-ensemble",3,326.064982468443,403.011032258065,0.032258064516129,0.212903225806452,1.16604663001925,0.916416581624265,1.14099454243646,0.952341154369264
